Date,Asian Open,Asian High,Asian Low,Asian Close,Asian Adj Close,Asian Volume,Dmart Open,Dmart High,Dmart Low,Dmart Close,Dmart Adj Close,Dmart Volume,,,,,,,,,,,Dropdown,,,Date,Dmart Volume,Asian Volume
21-12-2021,3247,3296,3240,3271.350098,3252.606201,712026,4612.5,4677,4571.049805,4587.399902,4587.399902,312536,,,,,,,,,,,,,,21-12-2021,312536,712026
22-12-2021,3275.699951,3285.649902,3241,3280.100098,3261.305908,619865,4627.950195,4695.5,4587.399902,4655.850098,4655.850098,338380,,,,,,,,,,,,,,22-12-2021,338380,619865
23-12-2021,3290,3307.899902,3250,3267.899902,3249.175781,1051596,4711.25,4711.25,4631.399902,4647.899902,4647.899902,204211,,,,,,,,,,,,,,23-12-2021,204211,1051596
24-12-2021,3280,3300,3261,3284.800049,3265.979004,651404,4674,4674,4615,4628.899902,4628.899902,122078,,,,,,,,,,,,,,24-12-2021,122078,651404
27-12-2021,3280.100098,3284.75,3226.199951,3272.399902,3253.649902,640701,4599,4680,4555.25,4668.649902,4668.649902,294366,,,,,,,,,,,,,,27-12-2021,294366,640701
28-12-2021,3275.949951,3375,3273,3368.199951,3348.901123,1211648,4680,4760.950195,4645,4721.950195,4721.950195,320963,,,,,,,,,,,,,,28-12-2021,320963,1211648
29-12-2021,3372.199951,3386,3346.199951,3367.449951,3348.155273,598421,4739,4748.700195,4675,4683.950195,4683.950195,176720,,,,,,,,,,,,,,29-12-2021,176720,598421
30-12-2021,3363.25,3390,3350.300049,3365.699951,3346.415283,691223,4677.5,4699,4625,4639.350098,4639.350098,195753,,,,,,,,,,,,,,30-12-2021,195753,691223
31-12-2021,3390,3405,3361.399902,3382.949951,3363.56665,570671,4641,4692.75,4636,4671.450195,4671.450195,172788,,,,,,,,,,,,,,31-12-2021,172788,570671
03-01-2022,3383,3440.899902,3383,3422.399902,3402.790527,696276,4770,4799,4701.200195,4711.5,4711.5,534384,,,,,,,,,,,,,,03-01-2022,534384,696276
04-01-2022,3434,3472.449951,3415.050049,3459.300049,3439.479248,790886,4758.899902,4758.899902,4685,4726.950195,4726.950195,242287,,,,,,,,,,,,,,04-01-2022,242287,790886
05-01-2022,3470,3540,3452.050049,3526.800049,3506.592529,1024506,4725,4725,4646,4687.399902,4687.399902,287948,,,,,,,,,,,,,,05-01-2022,287948,1024506
06-01-2022,3491.149902,3537.550049,3452.149902,3514.649902,3494.511963,1312743,4669.100098,4716,4642.649902,4705.649902,4705.649902,361505,,,,,,,,,,,,,,06-01-2022,361505,1312743
07-01-2022,3514.649902,3582,3496.550049,3576.300049,3555.808838,964364,4715,4748,4696.149902,4731.350098,4731.350098,301517,,,,,,,,,,,,,,07-01-2022,301517,964364
10-01-2022,3580,3590,3527,3553.5,3533.139404,657511,4784.899902,4784.899902,4620,4633.549805,4633.549805,1037618,,,,,,,,,,,,,,10-01-2022,1037618,657511
11-01-2022,3550.600098,3564,3495.050049,3538.75,3518.473877,734344,4649,4654.899902,4499,4504.899902,4504.899902,791417,,,,,,,,,,,,,,11-01-2022,791417,734344
12-01-2022,3556.899902,3582.449951,3534,3543.800049,3523.495117,594543,4500,4500,4165.299805,4276.100098,4276.100098,2521043,,,,,,,,,,,,,,12-01-2022,2521043,594543
13-01-2022,3560,3560,3450,3456.25,3436.446533,1153984,4276,4354.450195,4221.600098,4254.600098,4254.600098,1090010,,,,,,,,,,,,,,13-01-2022,1090010,1153984
14-01-2022,3462,3462,3346,3364.399902,3345.122803,1558978,4266,4344.450195,4256.149902,4322.700195,4322.700195,896929,,,,,,,,,,,,,,14-01-2022,896929,1558978
17-01-2022,3364.399902,3399,3321,3378.649902,3359.291016,1103159,4365,4414,4290.450195,4400.5,4400.5,870335,,,,,,,,,,,,,,17-01-2022,870335,1103159
18-01-2022,3379.050049,3396.449951,3351,3373.699951,3354.369629,558543,4425,4500,4381,4441.149902,4441.149902,940894,,,,,,,,,,,,,,18-01-2022,940894,558543
19-01-2022,3370,3370,3267.75,3280.399902,3261.604004,1495218,4459,4505,4365,4483.399902,4483.399902,579886,,,,,,,,,,,,,,19-01-2022,579886,1495218
20-01-2022,3282,3364.899902,3222,3306.399902,3287.455078,3075678,4517,4517,4462.350098,4483.549805,4483.549805,350124,,,,,,,,,,,,,,20-01-2022,350124,3075678
21-01-2022,3300.050049,3324.949951,3241.75,3274.850098,3256.086182,1441694,4410,4435.450195,4281,4299.799805,4299.799805,606584,,,,,,,,,,,,,,21-01-2022,606584,1441694
24-01-2022,3268,3270,3135,3155.149902,3137.071777,1575665,4300,4316.899902,3978,4035.300049,4035.300049,1126974,,,,,,,,,,,,,,24-01-2022,1126974,1575665
25-01-2022,3100,3156.949951,3010.75,3147.100098,3129.068115,2699779,4025,4120,3881.25,4095.449951,4095.449951,810518,,,,,,,,,,,,,,25-01-2022,810518,2699779
27-01-2022,3140.100098,3143,3071.25,3116.949951,3099.090576,1834684,4040,4144.100098,3994.949951,4063.300049,4063.300049,675652,,,,,,,,,,,,,,27-01-2022,675652,1834684
28-01-2022,3130,3170,3103,3110.850098,3093.025635,892060,4130,4150.899902,4046,4076,4076,582484,,,,,,,,,,,,,,28-01-2022,582484,892060
31-01-2022,3140,3193.449951,3136.399902,3152.25,3134.188477,944530,4140,4171,4092,4114.350098,4114.350098,478099,,,,,,,,,,,,,,31-01-2022,478099,944530
01-02-2022,3194,3212.350098,3141.600098,3196.25,3177.936279,1008915,4133.200195,4278,4092,4225.600098,4225.600098,321735,,,,,,,,,,,,,,01-02-2022,321735,1008915
02-02-2022,3204.800049,3244.149902,3192.149902,3197.699951,3179.37793,667265,4274.299805,4275,4211,4236.649902,4236.649902,249200,,,,,,,,,,,,,,02-02-2022,249200,667265
03-02-2022,3212.850098,3241.600098,3190.199951,3203,3184.647705,899753,4231.049805,4235,4122.350098,4140,4140,337719,,,,,,,,,,,,,,03-02-2022,337719,899753
04-02-2022,3188,3248.800049,3176.050049,3236.649902,3218.104736,705765,4140,4140.200195,4075,4081.899902,4081.899902,299981,,,,,,,,,,,,,,04-02-2022,299981,705765
07-02-2022,3234,3251.199951,3143.100098,3174.699951,3156.509766,860393,4090,4146.799805,4045.199951,4073.550049,4073.550049,288091,,,,,,,,,,,,,,07-02-2022,288091,860393
08-02-2022,3179,3223.5,3166.199951,3216.350098,3197.921143,799206,4098.899902,4128.950195,3995,4015,4015,456874,,,,,,,,,,,,,,08-02-2022,456874,799206
09-02-2022,3230,3259,3222.75,3228.350098,3209.852539,472725,4078.699951,4078.699951,3983,4002.100098,4002.100098,380364,,,,,,,,,,,,,,09-02-2022,380364,472725
10-02-2022,3220,3248,3176,3238.75,3220.192871,728666,4034.100098,4182,4001,4162.700195,4162.700195,699250,,,,,,,,,,,,,,10-02-2022,699250,728666
11-02-2022,3229.949951,3229.949951,3182.5,3216.300049,3197.871582,587840,4138,4157,4080.100098,4142.25,4142.25,336884,,,,,,,,,,,,,,11-02-2022,336884,587840
14-02-2022,3140,3182.699951,3120,3143.449951,3125.438721,681236,4015,4125,3958.050049,3979.75,3979.75,466101,,,,,,,,,,,,,,14-02-2022,466101,681236
15-02-2022,3140,3270,3132.850098,3264.600098,3245.894775,676844,4015,4128.899902,3980,4081.75,4081.75,377212,,,,,,,,,,,,,,15-02-2022,377212,676844
16-02-2022,3280,3285.100098,3223,3252.850098,3234.212158,624320,4139.899902,4155,4035,4051.149902,4051.149902,313236,,,,,,,,,,,,,,16-02-2022,313236,624320
17-02-2022,3273,3294.949951,3236.399902,3265.850098,3247.137695,636735,4095.600098,4152,4080,4115.399902,4115.399902,357259,,,,,,,,,,,,,,17-02-2022,357259,636735
18-02-2022,3236.149902,3272,3230.050049,3258.449951,3239.779785,423801,4098,4121,4056.050049,4073.100098,4073.100098,169496,,,,,,,,,,,,,,18-02-2022,169496,423801
21-02-2022,3235,3278.449951,3204.149902,3251.649902,3233.018799,547472,4048,4170,3990,4096.600098,4096.600098,480541,,,,,,,,,,,,,,21-02-2022,480541,547472
22-02-2022,3120,3236.800049,3120,3227.149902,3208.65918,1147209,4001,4179,3990,4157.100098,4157.100098,484781,,,,,,,,,,,,,,22-02-2022,484781,1147209
23-02-2022,3236.899902,3296.899902,3230,3237.199951,3218.651611,935896,4165,4217.700195,4135,4193.450195,4193.450195,360454,,,,,,,,,,,,,,23-02-2022,360454,935896
24-02-2022,3130,3197.800049,3051.5,3069.050049,3051.465088,1823450,3993.850098,4131.950195,3947.850098,4014.649902,4014.649902,552288,,,,,,,,,,,,,,24-02-2022,552288,1823450
25-02-2022,3105,3141.449951,3083.050049,3119.199951,3101.327881,1239456,4080,4210,4037.649902,4190.75,4190.75,425226,,,,,,,,,,,,,,25-02-2022,425226,1239456
28-02-2022,3090,3190.5,3015,3174.649902,3156.459961,1678348,4155,4355,4062.100098,4340.350098,4340.350098,647569,,,,,,,,,,,,,,28-02-2022,647569,1678348
02-03-2022,3107,3111.199951,2991.100098,3028.949951,3011.594971,3014206,4299.950195,4446.950195,4270,4295.149902,4295.149902,479507,,,,,,,,,,,,,,02-03-2022,479507,3014206
03-03-2022,3029,3051,2862,2871.899902,2855.44458,4406840,4370,4395,4253.899902,4276.5,4276.5,303425,,,,,,,,,,,,,,03-03-2022,303425,4406840
04-03-2022,2863.800049,2863.800049,2662.050049,2738.149902,2722.460938,6979253,4260.200195,4260.200195,4075.050049,4110.200195,4110.200195,437691,,,,,,,,,,,,,,04-03-2022,437691,6979253
07-03-2022,2649.899902,2727.949951,2599.350098,2708.449951,2692.931152,3233760,4001,4175,3970.800049,3991.649902,3991.649902,694633,,,,,,,,,,,,,,07-03-2022,694633,3233760
08-03-2022,2690,2736.949951,2638,2723.399902,2707.795654,2611102,4016,4160,3992.399902,4124,4124,713004,,,,,,,,,,,,,,08-03-2022,713004,2611102
09-03-2022,2750,2890,2665.050049,2874.949951,2858.477295,4076068,4155,4172.899902,4071.100098,4096.700195,4096.700195,395071,,,,,,,,,,,,,,09-03-2022,395071,4076068
10-03-2022,3000,3040,2891.199951,2912.800049,2896.110596,3971987,4210,4239.899902,4142.299805,4168.600098,4168.600098,439778,,,,,,,,,,,,,,10-03-2022,439778,3971987
