Date,Open,High,Low,Close,Adj Close,Volume,,,,,
24-11-2021,4876,4958.950195,4850.049805,4882.600098,4882.600098,483901,,,,,
25-11-2021,4930,4930,4854.649902,4894.5,4894.5,364378,,,,,
26-11-2021,4860,4860,4700.100098,4718.75,4718.75,518551,,,,,
29-11-2021,4687,4721,4455,4673.350098,4673.350098,609710,,,,,
30-11-2021,4673.399902,4800,4661,4710.899902,4710.899902,790479,,,,,
01-12-2021,4750,4848,4666,4693.700195,4693.700195,374830,,,,,
02-12-2021,4750,4794.549805,4718.450195,4782.950195,4782.950195,351343,,,,,
03-12-2021,4799,4850,4775,4799.049805,4799.049805,287731,,,,,
06-12-2021,4820,4821.950195,4580,4593.450195,4593.450195,466595,,,,,
07-12-2021,4674.700195,4719,4611,4660.649902,4660.649902,435517,,,,,
08-12-2021,4708.200195,4842,4708.200195,4814.600098,4814.600098,763280,,,,,
09-12-2021,4822,4878.399902,4777,4821.200195,4821.200195,316687,,,,,
10-12-2021,4798,4809.700195,4775.5,4796.600098,4796.600098,173574,,,,,
13-12-2021,4830,4870,4750,4765.799805,4765.799805,283323,,,,,
14-12-2021,4764.75,4840,4714.100098,4814.399902,4814.399902,352396,,,,,
15-12-2021,4799.899902,4814.25,4740,4749.450195,4749.450195,410084,,,,,
16-12-2021,4801,4815.149902,4726.149902,4742.100098,4742.100098,243570,,,,,
17-12-2021,4771,4791.25,4672.149902,4697.799805,4697.799805,454824,,,,,
20-12-2021,4669,4690,4552.25,4618.950195,4618.950195,310441,,,,,
21-12-2021,4612.5,4677,4571.049805,4587.399902,4587.399902,312536,,,,,
22-12-2021,4627.950195,4695.5,4587.399902,4655.850098,4655.850098,338380,,,,,
23-12-2021,4711.25,4711.25,4631.399902,4647.899902,4647.899902,204211,,,,,
24-12-2021,4674,4674,4615,4628.899902,4628.899902,122078,,,,,
27-12-2021,4599,4680,4555.25,4668.649902,4668.649902,294366,,,,,
28-12-2021,4680,4760.950195,4645,4721.950195,4721.950195,320963,,,,,
29-12-2021,4739,4748.700195,4675,4683.950195,4683.950195,176720,,,,,
30-12-2021,4677.5,4699,4625,4639.350098,4639.350098,195753,,,,,
31-12-2021,4641,4692.75,4636,4671.450195,4671.450195,172788,,,,,
03-01-2022,4770,4799,4701.200195,4711.5,4711.5,534384,,,,,
04-01-2022,4758.899902,4758.899902,4685,4726.950195,4726.950195,242287,,,,,
05-01-2022,4725,4725,4646,4687.399902,4687.399902,287948,,,,,
06-01-2022,4669.100098,4716,4642.649902,4705.649902,4705.649902,361505,,,,,
07-01-2022,4715,4748,4696.149902,4731.350098,4731.350098,301517,,,,,
10-01-2022,4784.899902,4784.899902,4620,4633.549805,4633.549805,1037618,,,,,
11-01-2022,4649,4654.899902,4499,4504.899902,4504.899902,791417,,,,,
12-01-2022,4500,4500,4165.299805,4276.100098,4276.100098,2521043,,,,,
13-01-2022,4276,4354.450195,4221.600098,4254.600098,4254.600098,1090010,,,,,
14-01-2022,4266,4344.450195,4256.149902,4322.700195,4322.700195,896929,,,,,
17-01-2022,4365,4414,4290.450195,4400.5,4400.5,870335,,,,,
18-01-2022,4425,4500,4381,4441.149902,4441.149902,940894,,,,,
19-01-2022,4459,4505,4365,4483.399902,4483.399902,579886,,,,,
20-01-2022,4517,4517,4462.350098,4483.549805,4483.549805,350124,,,,,
21-01-2022,4410,4435.450195,4281,4299.799805,4299.799805,606584,,,,,
24-01-2022,4300,4316.899902,3978,4035.300049,4035.300049,1126974,,,,,
25-01-2022,4025,4120,3881.25,4095.449951,4095.449951,810518,,,,,
27-01-2022,4040,4144.100098,3994.949951,4063.300049,4063.300049,675652,,,,,
28-01-2022,4130,4150.899902,4046,4076,4076,582484,,,,,
31-01-2022,4140,4171,4092,4114.350098,4114.350098,478099,,,,,
01-02-2022,4133.200195,4278,4092,4225.600098,4225.600098,321735,,,,,
02-02-2022,4274.299805,4275,4211,4236.649902,4236.649902,249200,,,,,
03-02-2022,4231.049805,4235,4122.350098,4140,4140,337719,,,,,
04-02-2022,4140,4140.200195,4075,4081.899902,4081.899902,299981,,,,,
07-02-2022,4090,4146.799805,4045.199951,4073.550049,4073.550049,288091,,,,,
08-02-2022,4098.899902,4128.950195,3995,4015,4015,456874,,,,,
09-02-2022,4078.699951,4078.699951,3983,4002.100098,4002.100098,380364,,,,,
10-02-2022,4034.100098,4182,4001,4162.700195,4162.700195,699250,,,,,
11-02-2022,4138,4157,4080.100098,4142.25,4142.25,336884,,,,,
14-02-2022,4015,4125,3958.050049,3979.75,3979.75,466101,,,,,
15-02-2022,4015,4128.899902,3980,4081.75,4081.75,377212,,,,,
16-02-2022,4139.899902,4155,4035,4051.149902,4051.149902,313236,,,,,
17-02-2022,4095.600098,4152,4080,4115.399902,4115.399902,357259,,,,,
18-02-2022,4098,4121,4056.050049,4073.100098,4073.100098,169496,,,,,
21-02-2022,4048,4170,3990,4096.600098,4096.600098,480541,,,,,
22-02-2022,4001,4179,3990,4157.100098,4157.100098,484781,,,,,
23-02-2022,4165,4217.700195,4135,4193.450195,4193.450195,360454,,,,,
24-02-2022,3993.850098,4131.950195,3947.850098,4014.649902,4014.649902,552288,,,,,
25-02-2022,4080,4210,4037.649902,4190.75,4190.75,425226,,,,,
28-02-2022,4155,4355,4062.100098,4340.350098,4340.350098,647569,,,,,
02-03-2022,4299.950195,4446.950195,4270,4295.149902,4295.149902,479507,,,,,
03-03-2022,4370,4395,4253.899902,4276.5,4276.5,303425,,,,,
04-03-2022,4260.200195,4260.200195,4075.050049,4110.200195,4110.200195,437691,,,,,
07-03-2022,4001,4175,3970.800049,3991.649902,3991.649902,694633,,,,,
08-03-2022,4016,4160,3992.399902,4124,4124,713004,,,,,
09-03-2022,4155,4172.899902,4071.100098,4096.700195,4096.700195,395071,,,,,
10-03-2022,4210,4239.899902,4142.299805,4168.600098,4168.600098,439778,,,,,
11-03-2022,4167,4210,4109.25,4198.950195,4198.950195,387534,,,,,
14-03-2022,4190,4218,4150,4168.25,4168.25,305326,,,,,
15-03-2022,4191,4251,4171.75,4231.049805,4231.049805,560819,,,,,
16-03-2022,4229.75,4243.600098,4153,4169.549805,4169.549805,470355,,,,,
17-03-2022,4218,4239,4166.100098,4192.75,4192.75,608024,,,,,
21-03-2022,4217,4217,4080.600098,4095.199951,4095.199951,370641,,,,,
22-03-2022,4129,4129,4031,4054,4054,396898,,,,,
23-03-2022,4085.699951,4119,4064.600098,4091.350098,4091.350098,285639,,,,,
24-03-2022,4086.25,4086.25,4031.550049,4042.850098,4042.850098,374573,,,,,
25-03-2022,4069,4069,3995,4001.300049,4001.300049,440558,,,,,
28-03-2022,4005.149902,4021,3975.050049,4010.050049,4010.050049,428027,,,,,
29-03-2022,4010.050049,4037.800049,3985,4006.100098,4006.100098,397614,,,,,
30-03-2022,4025,4084,3945,3973.399902,3973.399902,580732,,,,,
31-03-2022,4028,4040,3983.050049,4003.350098,4003.350098,492437,,,,,
01-04-2022,4013,4093,4000,4082.199951,4082.199951,416596,,,,,
04-04-2022,4120,4150,4076.149902,4106.649902,4106.649902,438581,,,,,
05-04-2022,4138.75,4148,4100,4109.700195,4109.700195,277248,,,,,
06-04-2022,4090,4139.799805,4085.600098,4101.899902,4101.899902,218183,,,,,
07-04-2022,4099.899902,4244,4092,4159.700195,4159.700195,979784,,,,,
08-04-2022,4165,4208,4118,4146.25,4146.25,358035,,,,,
11-04-2022,4136.799805,4200,4130.049805,4171.600098,4171.600098,202944,,,,,
12-04-2022,4174.950195,4174.950195,4075,4088.699951,4088.699951,228548,,,,,
13-04-2022,4101,4117.950195,4081.699951,4090.899902,4090.899902,157516,,,,,
18-04-2022,4065,4079,4009,4056,4056,193904,,,,,
19-04-2022,4089.899902,4131.899902,3975,4008.899902,4008.899902,222195,,,,,
20-04-2022,4026,4065,4000,4054.800049,4054.800049,222817,,,,,
21-04-2022,4075,4080,4015,4030.25,4030.25,209196,,,,,
22-04-2022,4028.649902,4060.050049,3995.75,4028.850098,4028.850098,210640,,,,,
25-04-2022,4000,4022.350098,3975.050049,3989.199951,3989.199951,204726,,,,,
26-04-2022,4009.800049,4050,3994.399902,4044.25,4044.25,198101,,,,,
27-04-2022,4006.100098,4024.350098,3960,3977.699951,3977.699951,169916,,,,,
28-04-2022,4023.899902,4054,3995.550049,4024.550049,4024.550049,247751,,,,,
29-04-2022,4048.899902,4085,3906,3944.25,3944.25,238651,,,,,
02-05-2022,3939.600098,3997.800049,3889,3983.350098,3983.350098,265831,,,,,
04-05-2022,4000,4023.949951,3850.199951,3867.149902,3867.149902,270400,,,,,
05-05-2022,3920,3980,3775,3943.800049,3943.800049,457770,,,,,
06-05-2022,3866,3889.649902,3602.149902,3666.199951,3666.199951,858787,,,,,
09-05-2022,3655,3655,3486,3520.300049,3520.300049,732787,,,,,
10-05-2022,3501,3545.25,3402.149902,3414.949951,3414.949951,696666,,,,,
11-05-2022,3448,3448,3311.699951,3339.699951,3339.699951,689554,,,,,
12-05-2022,3310,3334.949951,3241.25,3270.449951,3270.449951,725552,,,,,
13-05-2022,3351,3357.75,3205,3230.600098,3230.600098,546754,,,,,
16-05-2022,3260,3620,3186,3561.100098,3561.100098,1871384,,,,,
17-05-2022,3620,3724,3473.449951,3657,3657,926148,,,,,
18-05-2022,3700,3781,3650,3664.050049,3664.050049,712472,,,,,
19-05-2022,3513,3649,3491.5,3614.850098,3614.850098,439658,,,,,
20-05-2022,3708.899902,3717.199951,3610,3630.399902,3630.399902,334172,,,,,
23-05-2022,3650,3694.5,3552.050049,3574.100098,3574.100098,258246,,,,,
24-05-2022,3579.949951,3685,3571.199951,3656.75,3656.75,391193,,,,,
25-05-2022,3670,3694,3555.649902,3586.449951,3586.449951,224375,,,,,
26-05-2022,3586.449951,3635.699951,3465.300049,3577.449951,3577.449951,279250,,,,,
27-05-2022,3605,3649,3586,3613.850098,3613.850098,199688,,,,,
30-05-2022,3660,3824.899902,3645,3796.399902,3796.399902,429986,,,,,
31-05-2022,3807.75,4049,3767.899902,3972.800049,3972.800049,1335568,,,,,
01-06-2022,3960,4039,3812.550049,3874.050049,3874.050049,620365,,,,,
02-06-2022,3885,3927.550049,3831.100098,3856.899902,3856.899902,302036,,,,,
03-06-2022,3888,3888.399902,3768,3820.100098,3820.100098,349881,,,,,
06-06-2022,3800,3800,3675,3734.75,3734.75,295307,,,,,
07-06-2022,3704,3778.800049,3652.050049,3726.699951,3726.699951,301552,,,,,
08-06-2022,3765,3771,3700,3739.399902,3739.399902,250665,,,,,
09-06-2022,3729.899902,3850,3686.399902,3830.350098,3830.350098,445083,,,,,
10-06-2022,3790,3838,3735.100098,3755.649902,3755.649902,235985,,,,,
13-06-2022,3700,3743.600098,3644.399902,3661.600098,3661.600098,252912,,,,,
14-06-2022,3628,3712.699951,3552.25,3648.300049,3648.300049,424143,,,,,
15-06-2022,3669.899902,3743.949951,3645.350098,3662.899902,3662.899902,274604,,,,,
16-06-2022,3736,3737.899902,3562,3682.600098,3682.600098,408563,,,,,
17-06-2022,3670,3673.850098,3413.699951,3460.550049,3460.550049,1104855,,,,,
20-06-2022,3493.449951,3536.699951,3460.550049,3479.100098,3479.100098,222230,,,,,
21-06-2022,3520,3545,3450,3519.550049,3519.550049,340688,,,,,
22-06-2022,3524.449951,3524.449951,3466.050049,3486.350098,3486.350098,197297,,,,,
23-06-2022,3487.75,3502.649902,3401,3440.449951,3440.449951,355857,,,,,
24-06-2022,3489.949951,3489.949951,3390.100098,3412,3412,454591,,,,,
27-06-2022,3460,3460,3400,3408.600098,3408.600098,276838,,,,,
28-06-2022,3407.550049,3497,3374,3479.949951,3479.949951,440886,,,,,
29-06-2022,3450.449951,3527,3425,3445.25,3445.25,405633,,,,,
30-06-2022,3445.199951,3469,3370,3406.100098,3406.100098,384404,,,,,
01-07-2022,3394.449951,3406.649902,3331.100098,3388.75,3388.75,311228,,,,,
